"Spring Ridge Community Pool", "9090 Ridgefield Drive, Frederick, MD, USA", "Recreation", "This is the neighborhood pool for Spring Ridge, the neighborhood I grew up in. There was a summer league swim team that I swam on every summer, and that was how I found my love for swimming! The facility has 4 pools, a diving board, lap swimming lanes, and even a small waterslide!"https://ap.rdcpix.com/6f36eb9d6133d741533f9607587eabc8l-m3497276798rd-w1280_h960.webp
"C. Burr Artz Public Library", "110 E Patrick St, Frederick, MD 21701","Library", "The C. Burr Artz Public Library is located along the Carroll Creek in downtown Frederick! The library has information in all medias from books to videos, and the architecture of the building is nothing like you've seen in other libraries!" https://assets.simpleviewinc.com/simpleview/image/fetch/q_75/https://assets.simpleviewinc.com/simpleview/image/upload/crm/frederickcountymd/library0-747d71365056a36_747d7240-5056-a36a-07130a27b3b37b85.jpg
"Delaplaine Arts Center", "40 S Carroll St, Frederick, MD 21701", "Art Exhibit", "The Delaplaine is the art hub of Frederick, featuring galleries, studios, classes, and family programs. They feature work from local and regional artists, but also include art from the schools in the area as well! When I was in elementary school, one of my art projects was featured in their gallery!"https://assets.simpleviewcms.com/simpleview/image/fetch/q_75/https://res.cloudinary.com/simpleview/image/upload/crm/frederickcountymd/DSC09951_B2FBCF10-CCA9-406A-8504808FBAD05E08_b215193a-1963-4197-aba769e3de95cfd6.jpg
"Baker Park", "121 N Bentz St, Frederick, MD 21701", "Park", "Baker Park is a 58 acre park in the heart of downtown and includes jogging and bike paths, playgrounds, a lake, and even a venue for concerts, events, and festivals! My favorite memory as a child was feeding the duck in the lake every Sunday!" https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/baker-park-carrilon-frederick-md-david-smith.jpg
"Carroll Creek Park", "50 Carroll Creek Way Frederick, MD 21701", "Recreation", "Carroll Creek Park runs through downtown Frederick and along the river there are many local shops and restaurants. It's a great place for jogging, catching up with a friend, and shopping all while enjoying the beautiful view!" https://assets.simpleviewinc.com/sv-frederick-county/image/upload/c_fill,f_avif,h_853,q_65,w_1920/v1/cms_resources/clients/frederickcountymd-redesign/Carroll_Creek_Downtown_Frederick_2c35f560-a575-4f41-be62-35e82b5d793b.jpg
"Gathland State Park", "900 Arnoldstown Rd, Jefferson, MD 21755", "Park", "This beautiful park is perfect for hikes and backpacking trips, with an entrance to the Appalachian Trail! Hiking is one of my favorite things to do with my sister and friends, and Gathland State Park was a popular place for us to go."https://www.housewivesoffrederickcounty.com/wp-content/uploads/2020/05/National-War-Correspondents-Memorial-Arch2.jpg
"Civil War Medicine Museum", "48 E Patrick St, Frederick, MD 21701", "Museum", "Not only is the Civil War Museum a great stop for any history lovers, it's also significant to capturing the pivotal role Maryland's border towns in shaping the American Civil War. This museum introduced me to more of Maryland's history beyond what my history classes taught me!"https://www.marylandhauntedhouses.com/real-haunt-photo/national-museum-civil-war-medicine_3475.jpg
"Pistarro's", "221 N East St, Frederick, MD 21701", "Restaurant",
"Pistarro's is an Italian restaurant local to Frederick, serving pizza, pasta, and salumi. The ambient lighting and live music are the perfect atmosphere for a night out!" https://imagescdn.homes.com/i2/8K5pbnZB0QBG4NRpE5ctEI0vGOWcPCI19LGUhjM7B20/117/carrollton-frederick-md.jpg?p=1
"Francis Scott Key Mall", "5500 Buckeystown Pike, Frederick, MD 21703", "Shopping Center", "Francis Scott Key Mall, named after the Frederick native and author of The Star Spangled Banner, Francis Scott Key. This small mall packs a brunch with an array of stores without being overcrowded. If you make a wish while throwing a penny into the fountain, it is said that your wish will come true!" https://live.staticflickr.com/65535/53912043854_1935b00c11_h.jpg
"Frederick Fudge & Ice Cream Co", "253 E Church St, Frederick, MD 21701", "Cafe", "Frederick Fudge & Ice Cream Co is your one stop shot for any sweet cravings. Don't like ice cream? No worries! They also sell fudge and chocolate, so there's something for everyone! Getting ice cream there every Friday is my favorite tradition with my sister! "https://media-cdn.tripadvisor.com/media/photo-s/0b/ec/7b/22/frederick-fudge-ice-cream.jpg
